2020-50-17 00:50:17 [Thread-75] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.UserRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 23ms. Found 1 MongoDB repository interfaces.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
2020-50-17 00:50:20 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
2020-50-17 00:50:20 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-50-17 00:50:20 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2020-50-17 00:50:20 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 953 ms
2020-50-17 00:50:21 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
2020-50-17 00:50:21 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-16 - Starting...
2020-50-17 00:50:21 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-16 - Start completed.
2020-50-17 00:50:21 [task-1] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [name: default]
2020-50-17 00:50:21 [task-1] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-50-17 00:50:21 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-50-17 00:50:21 [restartedMain] INFO  org.mongodb.driver.cluster -Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2020-50-17 00:50:21 [cluster-ClusterId{value='5fb38ecd4444e94126ae0ea3', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection -Opened connection [connectionId{localValue:16, serverValue:183}] to localhost:27017
2020-50-17 00:50:21 [cluster-ClusterId{value='5fb38ecd4444e94126ae0ea3', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=5865700}
2020-50-17 00:50:21 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator -HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-50-17 00:50:21 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
2020-50-17 00:50:21 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-50-17 00:50:21 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41c911a9, org.springframework.security.web.context.SecurityContextPersistenceFilter@13c78160, org.springframework.security.web.header.HeaderWriterFilter@27d9b8d, org.springframework.security.web.csrf.CsrfFilter@5d58cb20, org.springframework.security.web.authentication.logout.LogoutFilter@2cfdbccc, com.webwork.eventmanagementengine.filter.JwtFilter@2bbdd371, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4e1cc9c9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@20d38274, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a9ffcd7, org.springframework.security.web.session.SessionManagementFilter@19674129, org.springframework.security.web.access.ExceptionTranslationFilter@4822a49d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@462bd8d6]
2020-50-17 00:50:21 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
2020-50-17 00:50:21 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener -Triggering deferred initialization of Spring Data repositories…
2020-50-17 00:50:21 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener -Spring Data repositories initialized!
2020-50-17 00:50:21 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Started EventManagementEngineApplication in 2.047 seconds (JVM running for 9311.467)
2020-50-17 00:50:21 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener -Condition evaluation unchanged
2020-50-17 00:50:28 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-50-17 00:50:28 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet -Initializing Servlet 'dispatcherServlet'
2020-50-17 00:50:28 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet -Completed initialization in 11 ms
2020-51-17 00:51:03 [Thread-80] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2020-51-17 00:51:03 [Thread-80] INFO  o.s.s.c.ThreadPoolTaskExecutor -Shutting down ExecutorService 'applicationTaskExecutor'
2020-51-17 00:51:03 [Thread-80] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-16 - Shutdown initiated...
2020-51-17 00:51:03 [Thread-80] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-16 - Shutdown completed.
2020-51-17 00:51:03 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Starting EventManagementEngineApplication on DESKTOP-I4P0PDK with PID 8292 (C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine\target\classes started by Sunil Bombe in C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine)
2020-51-17 00:51:03 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -No active profile set, falling back to default profiles: default
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.VenueRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 40ms. Found 3 JPA repository interfaces.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.EventRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.UserDetailsRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.UserRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 24ms. Found 1 MongoDB repository interfaces.
2020-51-17 00:51:04 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
2020-51-17 00:51:04 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
2020-51-17 00:51:04 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-51-17 00:51:04 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2020-51-17 00:51:04 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 590 ms
2020-51-17 00:51:04 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
2020-51-17 00:51:04 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-17 - Starting...
2020-51-17 00:51:04 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-17 - Start completed.
2020-51-17 00:51:04 [task-1] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [name: default]
2020-51-17 00:51:04 [task-1] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-51-17 00:51:04 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-51-17 00:51:04 [restartedMain] INFO  org.mongodb.driver.cluster -Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2020-51-17 00:51:04 [cluster-ClusterId{value='5fb38ef84444e94126ae0ea4', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection -Opened connection [connectionId{localValue:17, serverValue:184}] to localhost:27017
2020-51-17 00:51:04 [cluster-ClusterId{value='5fb38ef84444e94126ae0ea4', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=508000}
2020-51-17 00:51:04 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator -HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-51-17 00:51:04 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-51-17 00:51:04 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
2020-51-17 00:51:04 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@37ac5c24, org.springframework.security.web.context.SecurityContextPersistenceFilter@12735ec8, org.springframework.security.web.header.HeaderWriterFilter@39c373c8, org.springframework.security.web.authentication.logout.LogoutFilter@12df6f5, com.webwork.eventmanagementengine.filter.JwtFilter@3b2eccb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ba42adc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9db4153, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@50c588bf, org.springframework.security.web.session.SessionManagementFilter@304617b8, org.springframework.security.web.access.ExceptionTranslationFilter@7da888c2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@430537ed]
2020-51-17 00:51:04 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
2020-51-17 00:51:04 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener -Triggering deferred initialization of Spring Data repositories…
2020-51-17 00:51:05 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener -Spring Data repositories initialized!
2020-51-17 00:51:05 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Started EventManagementEngineApplication in 1.421 seconds (JVM running for 9354.574)
2020-51-17 00:51:05 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener -Condition evaluation unchanged
2020-57-17 00:57:14 [Thread-85] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2020-57-17 00:57:14 [Thread-85] INFO  o.s.s.c.ThreadPoolTaskExecutor -Shutting down ExecutorService 'applicationTaskExecutor'
2020-57-17 00:57:14 [Thread-85] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-17 - Shutdown initiated...
2020-57-17 00:57:14 [Thread-85] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-17 - Shutdown completed.
2020-57-17 00:57:14 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Starting EventManagementEngineApplication on DESKTOP-I4P0PDK with PID 8292 (C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine\target\classes started by Sunil Bombe in C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine)
2020-57-17 00:57:14 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -No active profile set, falling back to default profiles: default
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.VenueRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 40ms. Found 3 JPA repository interfaces.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.EventRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.UserDetailsRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.UserRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-57-17 00:57:14 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 19ms. Found 1 MongoDB repository interfaces.
2020-57-17 00:57:15 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
2020-57-17 00:57:15 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
2020-57-17 00:57:15 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-57-17 00:57:15 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2020-57-17 00:57:15 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 635 ms
2020-57-17 00:57:15 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor -Initializing ExecutorService 'applicationTaskExecutor'
2020-57-17 00:57:15 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-18 - Starting...
2020-57-17 00:57:15 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-18 - Start completed.
2020-57-17 00:57:15 [task-1] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [name: default]
2020-57-17 00:57:15 [task-1] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-57-17 00:57:15 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-57-17 00:57:15 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator -HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-57-17 00:57:15 [restartedMain] INFO  org.mongodb.driver.cluster -Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2020-57-17 00:57:15 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-57-17 00:57:15 [cluster-ClusterId{value='5fb3906b4444e94126ae0ea5', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection -Opened connection [connectionId{localValue:18, serverValue:185}] to localhost:27017
2020-57-17 00:57:15 [cluster-ClusterId{value='5fb3906b4444e94126ae0ea5', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=432900}
2020-57-17 00:57:15 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
2020-57-17 00:57:15 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@359117a9, org.springframework.security.web.context.SecurityContextPersistenceFilter@4a580cda, org.springframework.security.web.header.HeaderWriterFilter@79b27a89, org.springframework.security.web.authentication.logout.LogoutFilter@13185429, com.webwork.eventmanagementengine.filter.JwtFilter@721f9723, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14f82833, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ef46e17, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7da2ef84, org.springframework.security.web.session.SessionManagementFilter@56662b38, org.springframework.security.web.access.ExceptionTranslationFilter@50a1dbf1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@690011dc]
2020-57-17 00:57:15 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
2020-57-17 00:57:15 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener -Triggering deferred initialization of Spring Data repositories…
2020-57-17 00:57:15 [restartedMain] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener -Spring Data repositories initialized!
2020-57-17 00:57:15 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Started EventManagementEngineApplication in 1.239 seconds (JVM running for 9725.095)
2020-57-17 00:57:15 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener -Condition evaluation unchanged
2020-57-17 00:57:33 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-57-17 00:57:33 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet -Initializing Servlet 'dispatcherServlet'
2020-57-17 00:57:33 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet -Completed initialization in 7 ms
2020-28-17 01:28:18 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver -Resolved [java.lang.RuntimeException: Could not store the file. Error: uploads\images\Screenshot (7).png]
2020-13-17 02:13:38 [Thread-90] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2020-13-17 02:13:38 [Thread-90] INFO  o.s.s.c.ThreadPoolTaskExecutor -Shutting down ExecutorService 'applicationTaskExecutor'
2020-13-17 02:13:38 [Thread-90] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-18 - Shutdown initiated...
2020-13-17 02:13:38 [Thread-90] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-18 - Shutdown completed.
2020-13-17 02:13:40 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Starting EventManagementEngineApplication on DESKTOP-I4P0PDK with PID 8292 (C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine\target\classes started by Sunil Bombe in C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine)
2020-13-17 02:13:40 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -No active profile set, falling back to default profiles: default
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.VenueRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 90ms. Found 3 JPA repository interfaces.
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-13-17 02:13:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.EventRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
